Produktionsindex, Industrie
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %
01/03/1997;71,3;.;73,3;0,5
01/04/1997;78,3;.;73,6;0,4
01/05/1997;67,6;.;73,8;0,3
01/06/1997;79,2;.;74,2;0,5
01/07/1997;77,4;.;74,4;0,3
01/08/1997;64,4;.;74,8;0,5
01/09/1997;80,5;.;75,1;0,4
01/10/1997;81,3;.;75,5;0,5
01/11/1997;78,9;.;76,0;0,7
01/12/1997;72,8;.;76,2;0,3
01/01/1998;68,9;3,9;76,6;0,5
01/02/1998;72,2;6,0;76,9;0,4
01/03/1998;83,7;17,4;77,1;0,3
01/04/1998;77,0;-1,7;77,4;0,4
01/05/1998;74,3;9,9;77,5;0,1
01/06/1998;79,4;0,3;77,3;-0,3
01/07/1998;80,5;4,0;77,4;0,1
01/08/1998;67,9;5,4;77,3;-0,1
01/09/1998;82,8;2,9;77,2;-0,1
01/10/1998;83,1;2,2;77,0;-0,3
01/11/1998;81,9;3,8;77,1;0,1
01/12/1998;74,4;2,2;77,0;-0,1
01/01/1999;67,0;-2,8;77,1;0,1
01/02/1999;71,4;-1,1;77,2;0,1
01/03/1999;85,1;1,7;77,2;0,0
01/04/1999;76,9;-0,1;77,3;0,1
01/05/1999;74,1;-0,3;77,5;0,3
01/06/1999;82,6;4,0;77,5;0,0
01/07/1999;77,7;-3,5;77,8;0,4
01/08/1999;72,2;6,3;78,1;0,4
01/09/1999;85,1;2,8;78,3;0,3
01/10/1999;82,7;-0,5;78,6;0,4
01/11/1999;86,3;5,4;79,0;0,5
01/12/1999;79,3;6,6;79,3;0,4
01/01/2000;70,6;5,4;79,8;0,6
01/02/2000;79,5;11,3;80,3;0,6
01/03/2000;88,8;4,3;81,0;0,9
01/04/2000;76,2;-0,9;81,5;0,6
01/05/2000;88,7;19,7;82,1;0,7
01/06/2000;81,4;-1,5;82,6;0,6
01/07/2000;80,5;3,6;83,2;0,7
01/08/2000;79,3;9,8;83,7;0,6
01/09/2000;88,1;3,5;84,2;0,6
01/10/2000;87,2;5,4;84,4;0,2
01/11/2000;91,9;6,5;84,7;0,4
01/12/2000;80,5;1,5;84,8;0,1
01/01/2001;79,9;13,2;84,8;0,0
01/02/2001;80,7;1,5;84,7;-0,1
01/03/2001;90,9;2,4;84,4;-0,4
01/04/2001;80,0;5,0;84,1;-0,4
01/05/2001;85,8;-3,3;83,8;-0,4
01/06/2001;83,7;2,8;83,4;-0,5
01/07/2001;82,0;1,9;83,1;-0,4
01/08/2001;79,3;0,0;82,8;-0,4
01/09/2001;83,6;-5,1;82,4;-0,5
01/10/2001;87,6;0,5;82,2;-0,2
01/11/2001;87,2;-5,1;81,9;-0,4
01/12/2001;72,4;-10,1;81,8;-0,1
01/01/2002;76,7;-4,0;81,6;-0,2
01/02/2002;76,7;-5,0;81,6;0,0
01/03/2002;82,2;-9,6;81,8;0,2
01/04/2002;84,5;5,6;81,9;0,1
01/05/2002;78,3;-8,7;82,0;0,1
01/06/2002;84,7;1,2;82,1;0,1
01/07/2002;85,0;3,7;82,2;0,1
01/08/2002;76,3;-3,8;82,3;0,1
01/09/2002;86,2;3,1;82,3;0,0
01/10/2002;88,0;0,5;82,4;0,1
01/11/2002;87,3;0,1;82,3;-0,1
01/12/2002;75,1;3,7;82,3;0,0
01/01/2003;77,1;0,5;82,0;-0,4
01/02/2003;78,9;2,9;82,1;0,1
01/03/2003;84,5;2,8;82,0;-0,1
01/04/2003;82,0;-3,0;81,9;-0,1
01/05/2003;80,6;2,9;81,8;-0,1
01/06/2003;80,3;-5,2;81,6;-0,2
01/07/2003;86,2;1,4;81,9;0,4
01/08/2003;71,5;-6,3;82,2;0,4
01/09/2003;87,2;1,2;82,6;0,5
01/10/2003;89,2;1,4;82,9;0,4
01/11/2003;87,0;-0,3;83,1;0,2
01/12/2003;79,2;5,5;83,4;0,4
01/01/2004;75,6;-1,9;83,7;0,4
01/02/2004;79,4;0,6;84,1;0,5
01/03/2004;93,0;10,1;84,5;0,5
01/04/2004;84,7;3,3;84,7;0,2
01/05/2004;81,9;1,6;84,9;0,2
01/06/2004;90,4;12,6;84,9;0,0
01/07/2004;86,4;0,2;85,1;0,2
01/08/2004;78,6;9,9;85,1;0,0
01/09/2004;92,0;5,5;85,2;0,1
01/10/2004;89,5;0,3;85,3;0,1
01/11/2004;91,7;5,4;85,3;0,0
01/12/2004;83,3;5,2;85,5;0,2
01/01/2005;78,5;3,8;85,8;0,4
01/02/2005;80,8;1,8;86,2;0,5
01/03/2005;90,0;-3,2;86,3;0,1
01/04/2005;90,1;6,4;86,7;0,5
01/05/2005;83,3;1,7;87,0;0,3
01/06/2005;96,1;6,3;87,5;0,6
01/07/2005;86,6;0,2;87,8;0,3
01/08/2005;82,3;4,7;88,3;0,6
01/09/2005;96,5;4,9;88,8;0,6
01/10/2005;91,0;1,7;89,1;0,3
01/11/2005;97,3;6,1;89,6;0,6
01/12/2005;88,2;5,9;90,1;0,6
01/01/2006;84,5;7,6;90,5;0,4
01/02/2006;85,7;6,1;90,8;0,3
01/03/2006;100,3;11,4;91,5;0,8
01/04/2006;85,6;-5,0;92,1;0,7
01/05/2006;95,8;15,0;92,7;0,7
01/06/2006;95,3;-0,8;93,3;0,6
01/07/2006;91,5;5,7;94,0;0,8
01/08/2006;90,1;9,5;94,5;0,5
01/09/2006;99,3;2,9;95,3;0,8
01/10/2006;98,4;8,1;95,9;0,6
01/11/2006;104,5;7,4;96,5;0,6
01/12/2006;90,9;3,1;97,1;0,6
01/01/2007;92,9;9,9;97,6;0,5
01/02/2007;92,9;8,4;98,1;0,5
01/03/2007;106,5;6,2;98,7;0,6
01/04/2007;94,3;10,2;99,0;0,3
01/05/2007;98,8;3,1;99,6;0,6
01/06/2007;102,0;7,0;100,1;0,5
01/07/2007;100,7;10,1;100,6;0,5
01/08/2007;95,5;6,0;101,1;0,5
01/09/2007;102,4;3,1;101,5;0,4
01/10/2007;109,3;11,1;101,9;0,4
01/11/2007;109,7;5,0;102,4;0,5
01/12/2007;90,9;0,0;102,7;0,3
01/01/2008;98,7;6,2;103,2;0,5
01/02/2008;101,6;9,4;103,3;0,1
01/03/2008;99,9;-6,2;103,5;0,2
01/04/2008;110,4;17,1;103,3;-0,2
01/05/2008;98,0;-0,8;102,6;-0,7
01/06/2008;107,4;5,3;101,7;-0,9
01/07/2008;104,6;3,9;100,4;-1,3
01/08/2008;90,9;-4,8;98,8;-1,6
01/09/2008;108,4;5,9;97,0;-1,8
01/10/2008;105,3;-3,7;94,8;-2,3
01/11/2008;97,0;-11,6;92,7;-2,2
01/12/2008;84,2;-7,4;90,6;-2,3
01/01/2009;75,1;-23,9;88,5;-2,3
01/02/2009;76,1;-25,1;86,6;-2,1
01/03/2009;87,1;-12,8;85,0;-1,8
01/04/2009;78,2;-29,2;83,9;-1,3
01/05/2009;78,6;-19,8;82,9;-1,2
01/06/2009;84,5;-21,3;82,5;-0,5
01/07/2009;85,0;-18,7;82,3;-0,2
01/08/2009;74,5;-18,0;82,6;0,4
01/09/2009;93,4;-13,8;83,2;0,7
01/10/2009;91,6;-13,0;84,1;1,1
01/11/2009;91,8;-5,4;85,1;1,2
01/12/2009;81,4;-3,3;86,2;1,3
01/01/2010;75,4;0,4;87,2;1,2
01/02/2010;81,3;6,8;88,4;1,4
01/03/2010;99,7;14,5;89,3;1,0
01/04/2010;89,8;14,8;90,3;1,1
01/05/2010;89,0;13,2;91,3;1,1
01/06/2010;98,4;16,4;92,2;1,0
01/07/2010;92,6;8,9;93,1;1,0
01/08/2010;87,0;16,8;94,0;1,0
01/09/2010;102,6;9,9;95,0;1,1
01/10/2010;100,6;9,8;96,0;1,1
01/11/2010;104,5;13,8;96,8;0,8
01/12/2010;95,8;17,7;97,7;0,9
01/01/2011;88,3;17,1;98,5;0,8
01/02/2011;95,4;17,3;99,2;0,7
01/03/2011;110,8;11,1;99,7;0,5
01/04/2011;96,5;7,5;100,1;0,4
01/05/2011;108,1;21,5;100,5;0,4
01/06/2011;98,8;0,4;100,9;0,4
01/07/2011;99,9;7,9;101,0;0,1
01/08/2011;97,8;12,4;101,1;0,1
01/09/2011;108,4;5,7;101,1;0,0
01/10/2011;101,2;0,6;101,1;0,0
01/11/2011;109,4;4,7;101,2;0,1
01/12/2011;97,1;1,4;100,9;-0,3
01/01/2012;93,2;5,5;100,8;-0,1
01/02/2012;98,5;3,2;100,8;0,0
01/03/2012;110,3;-0,5;100,5;-0,3
01/04/2012;95,5;-1,0;100,4;-0,1
01/05/2012;100,6;-6,9;100,2;-0,2
01/06/2012;102,6;3,8;100,0;-0,2
01/07/2012;101,9;2,0;99,9;-0,1
01/08/2012;96,8;-1,0;99,7;-0,2
01/09/2012;100,1;-7,7;99,6;-0,1
01/10/2012;105,1;3,9;99,3;-0,3
01/11/2012;105,9;-3,2;99,3;0,0
01/12/2012;87,9;-9,5;99,3;0,0
01/01/2013;92,1;-1,2;99,2;-0,1
01/02/2013;93,4;-5,2;99,3;0,1
01/03/2013;101,0;-8,4;99,3;0,0
01/04/2013;103,2;8,1;99,5;0,2
01/05/2013;96,0;-4,6;99,8;0,3
01/06/2013;102,5;-0,1;100,0;0,2
01/07/2013;103,6;1,7;100,3;0,3
01/08/2013;93,9;-3,0;100,6;0,3
01/09/2013;104,8;4,7;100,9;0,3
01/10/2013;107,0;1,8;101,2;0,3
01/11/2013;107,1;1,1;101,4;0,2
01/12/2013;93,3;6,1;101,6;0,2
01/01/2014;95,1;3,3;101,9;0,3
01/02/2014;98,9;5,9;102,0;0,1
01/03/2014;106,6;5,5;102,1;0,1
01/04/2014;101,9;-1,3;102,1;0,0
01/05/2014;100,6;4,8;102,0;-0,1
01/06/2014;100,5;-2,0;102,1;0,1
01/07/2014;108,3;4,5;102,1;0,0
01/08/2014;89,1;-5,1;102,2;0,1
01/09/2014;109,7;4,7;102,2;0,0
01/10/2014;108,7;1,6;102,2;0,0
01/11/2014;105,7;-1,3;102,4;0,2
01/12/2014;96,7;3,6;102,4;0,0
01/01/2015;90,7;-4,6;102,4;0,0
01/02/2015;97,0;-1,9;102,7;0,3
01/03/2015;111,8;4,9;102,7;0,0
01/04/2015;102,5;0,6;102,9;0,2
01/05/2015;95,6;-5,0;103,0;0,1
01/06/2015;109,5;9,0;103,1;0,1
01/07/2015;109,0;0,6;103,2;0,1
01/08/2015;91,9;3,1;103,2;0,0
01/09/2015;109,9;0,2;103,3;0,1
01/10/2015;109,8;1,0;103,3;0,0
01/11/2015;109,1;3,2;103,3;0,0
01/12/2015;97,8;1,1;103,4;0,1
01/01/2016;90,0;-0,8;103,4;0,0
01/02/2016;102,8;6,0;103,4;0,0
01/03/2016;109,0;-2,5;103,4;0,0
01/04/2016;107,2;4,6;103,4;0,0
01/05/2016;98,8;3,3;103,4;0,0
01/06/2016;113,7;3,8;103,4;0,0
01/07/2016;99,3;-8,9;103,4;0,0
01/08/2016;100,3;9,1;103,5;0,1
01/09/2016;111,9;1,8;103,7;0,2
01/10/2016;102,9;-6,3;103,8;0,1
01/11/2016;113,3;3,8;104,0;0,2
01/12/2016;99,4;1,6;104,2;0,2
01/01/2017;96,7;7,4;104,5;0,3
01/02/2017;100,0;-2,7;104,9;0,4
01/03/2017;119,0;9,2;105,3;0,4
01/04/2017;98,0;-8,6;105,8;0,5
01/05/2017;109,8;11,1;106,4;0,6
01/06/2017;109,0;-4,1;106,9;0,5
01/07/2017;103,7;4,4;107,4;0,5
01/08/2017;105,1;4,8;107,9;0,5
01/09/2017;112,4;0,4;108,3;0,4
01/10/2017;105,2;2,2;108,7;0,4
01/11/2017;120,1;6,0;109,2;0,5
01/12/2017;102,8;3,4;109,4;0,2
01/01/2018;103,7;7,2;109,4;0,0
01/02/2018;102,5;2,5;109,4;0,0
01/03/2018;115,2;-3,2;109,3;-0,1
01/04/2018;107,8;10,0;109,2;-0,1
01/05/2018;106,8;-2,7;109,2;0,0
01/06/2018;115,5;6,0;108,9;-0,3
01/07/2018;108,0;4,1;108,7;-0,2
01/08/2018;104,5;-0,6;108,5;-0,2
01/09/2018;108,0;-3,9;108,2;-0,3
01/10/2018;113,7;8,1;108,0;-0,2
01/11/2018;115,0;-4,2;107,7;-0,3
01/12/2018;96,0;-6,6;107,4;-0,3
01/01/2019;101,1;-2,5;107,2;-0,2
01/02/2019;103,1;0,6;107,0;-0,2
01/03/2019;112,0;-2,8;106,7;-0,3
01/04/2019;105,1;-2,5;106,3;-0,4
01/05/2019;110,0;3,0;106,1;-0,2
01/06/2019;100,1;-13,3;105,7;-0,4
01/07/2019;109,0;0,9;105,3;-0,4
01/08/2019;97,3;-6,9;104,6;-0,7
01/09/2019;108,2;0,2;103,8;-0,8
01/10/2019;109,0;-4,1;102,8;-1,0
01/11/2019;108,5;-5,7;101,7;-1,1
01/12/2019;92,7;-3,4;100,7;-1,0
01/01/2020;97,7;-3,4;99,7;-1,0
01/02/2020;100,8;-2,2;98,7;-1,0
01/03/2020;103,4;-7,7;97,9;-0,8
01/04/2020;72,6;-30,9;97,3;-0,6
01/05/2020;78,8;-28,4;96,9;-0,4
01/06/2020;93,9;-6,2;96,8;-0,1
01/07/2020;97,7;-10,4;96,9;0,1
01/08/2020;84,1;-13,6;97,3;0,4
01/09/2020;103,7;-4,2;97,7;0,4
01/10/2020;105,9;-2,8;98,4;0,7
01/11/2020;108,8;0,3;98,9;0,5
01/12/2020;96,7;4,3;99,4;0,5
01/01/2021;88,1;-9,8;100,0;0,6
01/02/2021;97,3;-3,5;100,3;0,3
01/03/2021;116,4;12,6;100,5;0,2
01/04/2021;100,5;38,4;100,5;0,0
01/05/2021;95,7;21,4;100,2;-0,3
01/06/2021;104,6;11,4;100,0;-0,2
01/07/2021;100,3;2,7;99,6;-0,4
01/08/2021;87,9;4,5;99,2;-0,4
01/09/2021;102,1;-1,5;98,8;-0,4
01/10/2021;100,4;-5,2;98,6;-0,2
01/11/2021;108,5;-0,3;98,5;-0,1
01/12/2021;98,3;1,7;98,4;-0,1
01/01/2022;90,6;2,8;98,4;0,0
01/02/2022;98,1;0,8;98,5;0,1
01/03/2022;109,7;-5,8;98,5;0,0
01/04/2022;93,0;-7,5;98,7;0,2
01/05/2022;101,9;6,5;98,9;0,2
01/06/2022;101,8;-2,7;99,1;0,2
01/07/2022;95,1;-5,2;99,4;0,3
01/08/2022;93,9;6,8;99,6;0,2
01/09/2022;108,6;6,4;99,8;0,2
01/10/2022;97,0;-3,4;100,0;0,2
01/11/2022;109,9;1,3;100,1;0,1
01/12/2022;96,2;-2,1;100,2;0,1
01/01/2023;93,2;2,9;100,2;0,0
01/02/2023;98,6;0,5;100,2;0,0
01/03/2023;115,6;5,4;100,1;-0,1
01/04/2023;91,6;-1,5;99,9;-0,2
01/05/2023;100,5;-1,4;99,5;-0,4
01/06/2023;105,7;3,8;99,2;-0,3
01/07/2023;94,0;-1,2;98,7;-0,5
01/08/2023;93,3;-0,6;98,3;-0,4
01/09/2023;101,1;-6,9;97,8;-0,5
01/10/2023;97,2;0,2;97,3;-0,5
01/11/2023;105,0;-4,5;96,8;-0,5
01/12/2023;88,0;-8,5;96,3;-0,5
01/01/2024;89,8;-3,6;95,8;-0,5
01/02/2024;96,5;-2,1;95,3;-0,5
01/03/2024;98,0;-15,2;94,9;-0,4
01/04/2024;99,1;8,2;94,5;-0,4
01/05/2024;89,5;-10,9;94,2;-0,3
01/06/2024;96,1;-9,1;93,8;-0,4
01/07/2024;95,7;1,8;93,6;-0,2
01/08/2024;86,3;-7,5;93,4;-0,2
01/09/2024;96,1;-4,9;93,2;-0,2
01/10/2024;96,9;-0,3;92,9;-0,3
01/11/2024;97,9;-6,8;92,8;-0,1
01/12/2024;83,4;-5,2;92,7;-0,1
01/01/2025;86,1;-4,1;92,7;0,0
01/02/2025;90,2;-6,5;92,7;0,0
01/03/2025;100,2;2,2;92,7;0,0
01/04/2025;92,8;-6,4;92,8;0,1
01/05/2025;91,5;2,2;92,8;0,0
01/06/2025;91,4;-4,9;92,8;0,0
01/07/2025;97,5;1,9;92,9;0,1
01/08/2025;79,4;-8,0;92,9;0,0
01/09/2025;98,6;2,6;92,9;0,0
01/10/2025;97,0;0,1;92,8;-0,1
01/11/2025;98,1;0,2;92,6;-0,2
01/12/2025;86,2;3,4;92,4;-0,2
01/01/2026;82,2;-4,5;92,1;-0,3
01/02/2026;88,1;-2,3;91,9;-0,2
01/03/2026;101,4;1,2;91,6;-0,3
